HINT_SPLASH_TITLE;Britannia 479 AD - 'The Winter King';;;;;;;;;;;;x
HINT_SPLASH_START;As a new feudal lord, your first priority is to secure an heir. If you do not have a legitimate heir when your character dies, it's Game Over. Other pressing matters that need your attention will appear as Alerts along the top of the screen.;;;;;;;;;;;;x
HINT_SPLASH_TIME;You can issue commands both while the game is paused and when the clock is running. To pause or unpause the game, click the date in the upper-right corner or press the Spacebar. Use the plus and minus symbols to speed time up or to slow it down.;;;;;;;;;;;;x
HINT_SPLASH_VICTORY;Unless your dynasty dies out or you lose your last piece of land, the game will end in the year 962 AD, and you can compare your success with that of other dynasties from real history.;;;;;;;;;;;;x
HINT_SPLASH_TEXT;In 'The Winter King', you play as a feudal ruler of western Europe during the Dark Ages. Your goal is to secure as much land and prestige as possible for yourself and, when the time comes, your successors. You can see your portrait in the upper-left corner. Click the portrait to find out who your character is.;;;;;;;;;;;;x
HINT_SPLASH_MAP;The campaign takes place on a fully 3D map. You can zoom in and out using your mouse scroll wheel. Holding down the scroll wheel and moving the mouse lets you pan. You can always reset the map by pressing Backspace.;;;;;;;;;;;;x
recently_conquered;Recently Conquered;;;;;;;;;;;;x
new_administration;Transition of Rule;;;;;;;;;;;;x
obj_become_king_title;Become King of [This.Capital.Kingdom.GetName];;;;;;;;;;;;x
obj_become_king_desc;[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName].;;;;;;;;;;;;x
obj_become_king_tip;Is King of [This.Capital.Kingdom.GetName];;;;;;;;;;;;x
obj_buddhist_stop_drinking_title;Stop Drinking;Fini la boisson;Entsagt dem Alkohl;; Deja de beber;;;;;;;;;x
obj_buddhist_stop_drinking_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to abandon [This.GetHerHis] harmful drinking habits.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à abandonner son penchant pour la boisson qui lui cause tant de souffrances.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, [This.GetHerHis]e schädlichen Trinkgewohnheiten abzulegen.;;[This.GetTitledFirstName], como budista devoto/a, trata de aprender a abandonar [This.GetHerHis] dañinos hábitos de consumir bebidas alcohólicas.;;;;;;;;;x
obj_buddhist_reject_empty_pleasures_title;Learn to Reject Empty Pleasures;Apprendre à rejeter les plaisirs inutiles;Lernt, leere Vergnügungen abzulehnen;;Aprender a Rechazar Placeres Vacíos;;;;;;;;;x
obj_buddhist_reject_empty_pleasures_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to reject emply pleasures.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à rejeter les plaisirs inutiles.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, leere Vergnügungen abzulehnen.;;[This.GetTitledFirstName], como budista devoto/a, trata de aprender a rechazar placeres vacíos..;;;;;;;;;x
obj_buddhist_abstain_sexual_excess_title;Learn to Abstain from Excesses of the Flesh;Apprendre à s'abstenir des excès de la chair;Lernt, fleischlichen Exzessen zu entsagen;; Aprender a abstenerse de impulsos carnales.;;;;;;;;;x
obj_buddhist_abstain_sexual_excess_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to abstain from excesses of the flesh.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à s'abstenir des excès de la chair.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, fleischlichen Exzessen zu entsagen.;;[This.GetTitledFirstName], como budista devoto/a, trata de aprender a abstenerse de impulsos carnales.;;;;;;;;;x
obj_buddhist_reject_cruelty_title;Reject Cruelty;Rejeter la cruauté;Lehnt Grausamkeit ab;; Rechazar la crueldad;;;;;;;;;x
obj_buddhist_reject_cruelty_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to reject cruelty.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à rejeter la cruauté.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, Grausamkeit abzulehnen.;; [This.GetTitledFirstName], como budista devoto/a, trata de aprender a rechazar la crueldad.;;;;;;;;;x
obj_buddhist_temperance_food_title;Learn Temperance with Food;Apprendre à modérer son appétit;Lernt Mäßigung beim Essen;; Aprender a ser moderado con la comida;;;;;;;;;x
obj_buddhist_temperance_food_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to eat without excess.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à manger sans excès.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, beim Essen Maß zu halten.;; [This.GetTitledFirstName], como budista devoto/a, trata de aprender a dejar de comer en exceso.;;;;;;;;;x
obj_buddhist_reject_greed_title;Learn to Reject the Poison of Greed;Apprendre à rejeter le poison de l'avarice;Lernt, das Gift der Gier abzulehnen;;Aprender a rechazar el veneno de la codicia;;;;;;;;;x
obj_buddhist_reject_greed_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to reject the poison that greed brings to the mind.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à rejeter ce poison de l'esprit qu'est l'avarice.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, die Vergiftung des Geistes durch Gier abzulehnen.;;[This.GetTitledFirstName], como budista devoto/a, trata de aprender a rechazar el veneno que la codicia trae a la mente.;;;;;;;;;x
obj_buddhist_reject_envy_title;Learn to Reject Envy;Apprendre à rejeter l'envie;Lernt, Neid abzulehnen;; Aprender a rechazar la envidia;;;;;;;;;x
obj_buddhist_reject_envy_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to reject the poison that envy brings to the mind.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à rejeter ce poison de l'esprit qu'est l'envie.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, die Vergiftung des Geistes durch Neid abzulehnen.;; [This.GetTitledFirstName], como budista devoto/a, trata de aprender a rechazar el veneno que la envidia trae a la mente.;;;;;;;;;x
obj_buddhist_reject_hate_title;Learn to Reject Hate;Apprendre à rejeter la haine;Lernt, Hass abzulehnen;; Aprender a rechazar el odio;;;;;;;;;x
